,id,end_date,start_date,project_id,created_at,updated_at,instructor_updated,active
122,125,2018-04-30 14:59:00,2018-04-26 15:00:00,10,2018-04-26 15:20:30,2018-04-30 15:21:29,1,1
123,126,2018-04-30 14:59:00,2018-04-26 15:00:00,11,2018-04-26 15:20:30,2018-04-30 15:21:29,1,1
124,127,2018-05-07 14:59:00,2018-05-03 15:00:00,10,2018-05-03 15:20:46,2018-05-07 15:20:56,1,1
125,128,2018-05-07 14:59:00,2018-05-03 15:00:00,11,2018-05-03 15:20:46,2018-05-07 15:20:56,1,1
126,129,2018-05-14 14:59:00,2018-05-10 15:00:00,10,2018-05-10 15:21:27,2018-05-14 15:21:00,1,1
127,130,2018-05-14 14:59:00,2018-05-10 15:00:00,11,2018-05-10 15:21:27,2018-05-14 15:21:00,1,1
128,131,2018-05-21 14:59:00,2018-05-17 15:00:00,10,2018-05-17 15:21:19,2018-05-21 15:20:25,1,1
129,132,2018-05-21 14:59:00,2018-05-17 15:00:00,11,2018-05-17 15:21:19,2018-05-21 15:20:25,1,1
130,133,2018-05-28 14:59:00,2018-05-24 15:00:00,10,2018-05-24 15:20:40,2018-05-28 15:20:28,1,1
131,134,2018-05-28 14:59:00,2018-05-24 15:00:00,11,2018-05-24 15:20:40,2018-05-28 15:20:28,1,1
132,135,2018-06-04 14:59:00,2018-05-31 15:00:00,10,2018-05-31 15:21:15,2018-06-04 15:21:34,1,1
133,136,2018-06-04 14:59:00,2018-05-31 15:00:00,11,2018-05-31 15:21:15,2018-06-04 15:21:34,1,1
134,137,2018-06-11 14:59:00,2018-06-07 15:00:00,10,2018-06-07 15:21:29,2018-06-11 15:20:52,1,1
135,138,2018-06-11 14:59:00,2018-06-07 15:00:00,11,2018-06-07 15:21:29,2018-06-11 15:20:52,1,1
136,139,2018-06-18 14:59:00,2018-06-14 15:00:00,10,2018-06-14 15:21:14,2018-06-18 15:20:55,1,1
137,140,2018-06-18 14:59:00,2018-06-14 15:00:00,11,2018-06-14 15:21:14,2018-06-18 15:20:56,1,1
138,141,2018-07-24 06:59:00,2018-07-20 07:00:00,12,2018-07-21 02:32:46,2018-07-25 14:21:27,1,1
139,142,2018-07-31 06:59:00,2018-07-27 07:00:00,12,2018-07-27 07:21:38,2018-07-31 07:20:54,1,1
