,id,accepted,consent_form_id,user_id,created_at,updated_at,presented
169,170,1.0,1,372,2018-09-17 11:48:48,2018-09-17 11:48:53,1.0
170,171,1.0,1,331,2018-09-17 13:11:08,2018-09-17 13:11:46,1.0
171,172,1.0,1,345,2018-09-17 13:45:03,2018-09-17 13:45:12,1.0
172,173,1.0,1,335,2018-09-17 17:29:22,2018-09-17 17:29:36,1.0
173,174,1.0,1,333,2018-09-17 17:36:59,2018-09-17 17:37:30,1.0
174,175,1.0,1,348,2018-09-17 21:01:10,2018-09-17 21:01:19,1.0
175,176,1.0,1,337,2018-09-18 01:14:45,2018-09-18 01:15:06,1.0
176,177,1.0,1,329,2018-09-18 01:53:49,2018-09-18 01:54:01,1.0
177,178,1.0,1,362,2018-09-18 02:10:36,2018-09-18 02:10:43,1.0
178,179,1.0,1,332,2018-09-18 14:32:51,2018-09-18 14:33:30,1.0
179,180,1.0,1,326,2018-09-18 18:16:16,2018-09-18 18:16:27,1.0
180,181,1.0,1,339,2018-09-19 00:53:43,2018-09-20 00:17:22,1.0
181,182,1.0,1,363,2018-09-19 04:37:53,2018-09-19 04:38:03,1.0
182,183,1.0,1,364,2018-09-19 12:29:28,2018-09-19 12:29:36,1.0
183,184,1.0,1,355,2018-09-19 22:20:17,2018-09-19 22:20:28,1.0
184,185,1.0,1,396,2018-09-20 01:12:09,2018-09-20 01:12:19,1.0
185,186,1.0,1,397,2018-09-23 17:17:46,2018-09-23 17:17:59,1.0
186,187,1.0,1,398,2018-09-25 17:34:08,2018-09-25 17:34:32,1.0
187,188,1.0,1,309,2018-09-27 00:53:49,2018-09-27 00:54:29,1.0
188,189,1.0,1,294,2018-10-03 01:37:23,2018-10-03 01:39:58,1.0
189,190,1.0,1,399,2018-10-04 17:55:16,2018-10-04 17:55:26,1.0
190,191,1.0,1,304,2018-10-06 04:17:19,2018-10-06 04:17:38,1.0
191,192,1.0,1,400,2018-10-11 03:25:22,2018-10-11 03:25:57,1.0
192,193,1.0,1,297,2018-10-11 03:59:52,2018-10-11 04:00:01,1.0
193,194,1.0,1,311,2018-10-11 04:09:09,2018-10-11 04:09:26,1.0
194,195,0.0,1,300,2018-10-11 14:40:18,2018-10-11 14:40:18,
195,196,1.0,1,401,2018-10-12 01:27:36,2018-10-12 01:27:52,1.0
196,197,1.0,1,302,2018-10-15 00:45:33,2018-10-15 07:35:49,1.0
197,198,1.0,1,278,2018-10-15 18:12:00,2018-10-15 18:13:36,1.0
198,199,1.0,1,307,2018-10-21 11:59:21,2018-10-21 11:59:29,1.0
199,200,1.0,1,405,2018-10-21 22:52:21,2018-10-21 22:52:30,1.0
200,201,1.0,1,402,2018-10-22 02:25:27,2018-10-22 02:29:27,1.0
201,202,1.0,1,403,2018-10-22 02:26:34,2018-10-22 02:26:45,1.0
202,203,1.0,1,225,2018-10-23 20:43:20,2018-10-23 20:43:33,1.0
203,204,1.0,1,415,2018-10-25 19:34:34,2018-10-25 19:34:45,1.0
204,205,1.0,1,408,2018-10-25 20:22:20,2018-10-25 20:22:27,1.0
205,206,1.0,1,416,2018-10-25 20:26:53,2018-10-25 20:27:03,1.0
206,207,1.0,1,410,2018-10-25 20:32:15,2018-10-25 20:32:23,1.0
207,208,1.0,1,374,2018-10-25 23:28:51,2018-10-25 23:29:11,1.0
208,209,1.0,1,419,2018-10-27 14:43:26,2018-10-27 14:44:37,1.0
209,210,1.0,1,285,2018-10-28 03:40:02,2018-10-28 03:40:14,1.0
210,211,1.0,1,420,2018-10-29 11:16:54,2018-10-29 11:18:31,1.0
211,212,1.0,1,421,2018-11-05 01:23:58,2018-11-05 01:24:08,1.0
212,213,1.0,1,409,2018-11-05 02:15:51,2018-11-05 02:16:08,1.0
213,214,1.0,1,411,2018-11-05 04:36:55,2018-11-05 04:37:02,1.0
214,215,0.0,1,422,2018-11-08 06:35:12,2018-11-08 06:35:12,
215,216,0.0,1,423,2018-11-17 11:18:16,2018-11-17 11:18:29,1.0
216,217,1.0,1,394,2018-11-19 17:10:06,2018-11-19 17:14:34,1.0
217,218,1.0,1,295,2018-11-28 01:55:20,2018-11-28 01:55:31,1.0
218,219,1.0,1,424,2018-11-28 10:43:24,2018-11-28 10:44:28,1.0
219,220,0.0,1,296,2018-11-28 23:50:04,2018-11-28 23:50:04,
220,221,0.0,1,425,2018-12-07 12:20:50,2018-12-07 12:20:50,
221,222,1.0,1,427,2018-12-17 06:39:24,2018-12-17 06:39:48,1.0
222,223,0.0,1,429,2019-01-24 19:46:31,2019-01-24 19:46:31,
223,224,0.0,1,430,2019-01-25 06:10:00,2019-01-25 06:10:00,
224,225,1.0,1,431,2019-02-05 15:21:12,2019-02-05 15:21:29,1.0
225,226,1.0,1,432,2019-02-23 13:28:55,2019-02-23 13:29:39,1.0
226,227,0.0,1,439,2019-02-24 07:36:03,2019-02-25 07:39:52,1.0
227,228,0.0,1,475,2019-02-24 16:55:59,2019-02-24 16:55:59,
228,229,1.0,1,433,2019-02-24 22:08:13,2019-02-24 22:08:43,1.0
229,230,1.0,1,441,2019-02-24 22:24:57,2019-02-24 22:25:24,1.0
230,231,1.0,1,457,2019-02-25 01:44:25,2019-02-25 01:45:25,1.0
231,232,1.0,1,460,2019-02-25 03:30:23,2019-02-25 03:30:33,1.0
232,233,1.0,1,477,2019-02-25 04:35:27,2019-02-25 13:33:21,1.0
233,234,1.0,1,434,2019-02-25 05:06:39,2019-02-25 07:45:23,1.0
234,235,1.0,1,451,2019-02-25 05:51:49,2019-02-25 05:51:58,1.0
235,236,1.0,1,461,2019-02-25 06:49:38,2019-02-25 07:41:01,1.0
236,237,0.0,1,444,2019-02-25 06:49:53,2019-06-01 01:06:45,1.0
237,238,1.0,1,449,2019-02-25 07:32:08,2019-02-26 07:23:55,1.0
238,239,1.0,1,455,2019-02-25 07:32:09,2019-02-25 07:32:17,1.0
239,240,1.0,1,458,2019-02-25 07:36:04,2019-02-25 07:36:42,1.0
240,241,1.0,1,470,2019-02-25 07:48:05,2019-02-25 07:48:28,1.0
241,242,1.0,1,464,2019-02-25 07:48:27,2019-02-25 07:48:38,1.0
242,243,1.0,1,442,2019-02-25 09:29:00,2019-02-25 09:29:06,1.0
243,244,1.0,1,469,2019-02-25 12:25:29,2019-02-25 12:25:41,1.0
244,245,1.0,1,482,2019-02-25 14:00:45,2019-02-25 14:01:07,1.0
245,246,1.0,1,463,2019-02-26 01:39:06,2019-02-26 01:39:14,1.0
246,247,1.0,1,191,2019-02-26 04:41:58,2019-02-26 04:42:07,1.0
247,248,1.0,1,443,2019-02-26 05:41:49,2019-02-26 05:53:52,1.0
248,249,1.0,1,466,2019-02-26 09:47:11,2019-02-26 09:47:21,1.0
249,250,1.0,1,450,2019-02-26 12:17:35,2019-02-26 12:17:53,1.0
250,251,1.0,1,472,2019-02-26 12:21:03,2019-02-26 12:21:15,1.0
251,252,1.0,1,453,2019-02-26 13:08:12,2019-02-26 13:08:31,1.0
252,253,1.0,1,456,2019-02-27 00:48:43,2019-02-27 00:49:02,1.0
253,254,1.0,1,437,2019-02-27 02:19:06,2019-02-27 02:20:57,1.0
254,255,1.0,1,438,2019-02-27 02:23:02,2019-02-27 02:27:15,1.0
255,256,1.0,1,435,2019-02-27 02:25:03,2019-02-27 02:25:23,1.0
256,257,1.0,1,446,2019-02-27 02:40:20,2019-02-27 02:40:30,1.0
257,258,1.0,1,452,2019-02-27 06:38:42,2019-02-27 06:39:37,1.0
258,259,1.0,1,445,2019-02-27 06:39:24,2019-02-27 06:39:33,1.0
259,260,1.0,1,116,2019-02-27 06:39:55,2019-02-27 06:40:52,1.0
260,261,1.0,1,468,2019-02-27 06:57:28,2019-02-27 07:01:03,1.0
261,262,1.0,1,448,2019-02-27 07:58:54,2019-02-28 11:39:13,1.0
262,263,1.0,1,490,2019-02-27 09:16:30,2019-02-27 09:16:56,1.0
263,264,0.0,1,480,2019-02-28 00:51:17,2019-02-28 00:51:17,
264,265,1.0,1,471,2019-02-28 02:11:47,2019-02-28 02:20:39,1.0
265,266,1.0,1,447,2019-02-28 02:24:17,2019-02-28 02:24:39,1.0
266,267,1.0,1,440,2019-03-01 14:13:37,2019-03-01 14:13:46,1.0
267,268,1.0,1,467,2019-03-04 06:46:54,2019-03-04 06:47:06,1.0
268,269,1.0,1,493,2019-03-07 05:12:50,2019-03-07 05:13:07,1.0
269,270,1.0,1,494,2019-03-08 12:47:12,2019-04-07 05:20:33,1.0
270,271,0.0,1,495,2019-03-12 11:45:14,2019-03-12 11:45:14,
271,272,1.0,1,496,2019-03-16 02:25:54,2019-03-16 02:27:10,1.0
272,273,1.0,1,497,2019-04-13 03:52:10,2019-04-13 03:52:50,1.0
273,274,1.0,1,498,2019-04-16 19:50:44,2019-04-16 19:52:01,1.0
274,275,0.0,1,499,2019-04-17 17:51:20,2019-04-17 17:51:20,
275,276,1.0,1,501,2019-04-22 05:34:55,2019-04-22 05:35:32,1.0
276,277,1.0,1,502,2019-05-06 22:48:42,2019-05-06 22:49:12,1.0
277,278,1.0,1,503,2019-05-13 02:45:23,2019-05-13 02:45:52,1.0
278,279,1.0,1,504,2019-05-18 20:14:19,2019-05-18 20:15:32,1.0
279,280,0.0,1,505,2019-05-22 12:25:47,2019-05-22 12:25:47,
280,281,1.0,2,1,2019-09-25 16:16:26,2019-09-25 16:16:43,1.0
281,282,1.0,2,514,2019-09-25 16:28:27,2019-09-25 16:28:36,1.0
282,283,1.0,2,554,2019-09-25 16:39:05,2019-09-25 16:39:24,1.0
283,284,1.0,2,562,2019-09-25 16:55:50,2019-09-25 16:55:58,1.0
284,285,1.0,2,543,2019-09-25 17:09:24,2019-09-25 17:09:42,1.0
285,286,1.0,2,572,2019-09-25 17:12:26,2019-09-25 17:12:35,1.0
286,287,1.0,2,538,2019-09-25 17:55:34,2019-09-25 17:55:55,1.0
287,288,0.0,2,575,2019-09-25 19:26:59,2019-09-25 19:41:04,1.0
288,289,0.0,2,571,2019-09-25 19:27:31,2019-09-25 19:29:19,1.0
