,id,group_id,name,members,created_at,updated_at
240,242,131,Group 3,805 806 808 ,2021-09-23 13:17:48,2021-09-23 13:17:48
241,243,132,Group 4,803 804 ,2021-09-23 13:17:48,2021-09-23 13:17:48
242,244,128,Unnamed II,653 664 796 797 ,2021-10-03 23:26:28,2021-10-03 23:26:28
243,245,127,Unnamed,540 676 789 793 ,2021-10-27 01:26:13,2021-10-27 01:26:13
244,246,2,W (Vehicle Victory),40 42 43 48 ,2023-01-11 21:46:24,2023-01-11 21:46:24
245,247,3,4G,41 44 45 49 ,2023-01-11 21:46:24,2023-01-11 21:46:24
246,248,4,Gamma,46 47 50 ,2023-01-11 21:46:24,2023-01-11 21:46:24
247,249,5,Wolken,7 11 12 38 ,2023-01-11 21:46:24,2023-01-11 21:46:24
248,250,6,The EYE,6 8 10 ,2023-01-11 21:46:24,2023-01-11 21:46:24
249,251,7,BANG!,28 29 31 56 ,2023-01-11 21:46:24,2023-01-11 21:46:24
250,252,8,GO TEAM,12 22 25 34 39 ,2023-01-11 21:46:24,2023-01-11 21:46:24
251,253,9,Yawhee,19 21 23 33 ,2023-01-11 21:46:24,2023-01-11 21:46:24
252,254,10,Mentos,16 20 27 32 ,2023-01-11 21:46:24,2023-01-11 21:46:24
253,255,11,Working Towards the Future (WTF),17 26 30 37 ,2023-01-11 21:46:24,2023-01-11 21:46:24
254,256,12,Power Ranger,13 14 15 35 36 ,2023-01-11 21:46:24,2023-01-11 21:46:24
255,257,13,TEAM A,,2023-01-11 21:46:24,2023-01-11 21:46:24
256,258,14,Triple S,113 118 119 ,2023-01-11 21:46:24,2023-01-11 21:46:24
257,259,15,Coffee Mug,105 109 110 ,2023-01-11 21:46:24,2023-01-11 21:46:24
258,260,16,Singularity,107 111 112 ,2023-01-11 21:46:24,2023-01-11 21:46:24
259,261,17,Out of the Cube,107 110 113 ,2023-01-11 21:46:24,2023-01-11 21:46:24
260,262,18,SYS,105 111 118 ,2023-01-11 21:46:24,2023-01-11 21:46:24
261,263,19,SK Designers,109 112 119 ,2023-01-11 21:46:24,2023-01-11 21:46:24
262,264,20,Serendipity,112 125 126 129 130 ,2023-01-11 21:46:24,2023-01-11 21:46:24
263,265,21,Bingo! Jellyfish,105 106 117 123 ,2023-01-11 21:46:24,2023-01-11 21:46:24
264,266,22,Tim,119 128 153 ,2023-01-11 21:46:24,2023-01-11 21:46:24
265,267,23,History Makers,36 132 133 138 ,2023-01-11 21:46:24,2023-01-11 21:46:24
266,268,24,4JS,6 20 137 146 ,2023-01-11 21:46:24,2023-01-11 21:46:24
267,269,25,371DEGREE,125 134 142 143 ,2023-01-11 21:46:24,2023-01-11 21:46:24
268,270,26,Mirage,8 129 130 136 ,2023-01-11 21:46:24,2023-01-11 21:46:24
269,271,27, I Need a Coding Beat Boy,118 139 145 149 ,2023-01-11 21:46:24,2023-01-11 21:46:24
270,272,28,dummies,19 25 38 39 ,2023-01-11 21:46:24,2023-01-11 21:46:24
271,273,29,DA-TA,22 111 114 128 147 ,2023-01-11 21:46:24,2023-01-11 21:46:24
272,274,30,Data Mafia,37 119 140 141 ,2023-01-11 21:46:24,2023-01-11 21:46:24
273,275,31,best software,122 144 145 173 175 ,2023-01-11 21:46:24,2023-01-11 21:46:24
274,276,32,new deal,107 121 140 141 ,2023-01-11 21:46:24,2023-01-11 21:46:24
275,277,33,sunkids,136 138 171 194 ,2023-01-11 21:46:24,2023-01-11 21:46:24
276,278,34,1ee2park,125 129 130 145 ,2023-01-11 21:46:24,2023-01-11 21:46:24
277,279,35,We Go,144 175 176 204 ,2023-01-11 21:46:24,2023-01-11 21:46:24
278,280,36,player_unknown,13 185 188 205 ,2023-01-11 21:46:24,2023-01-11 21:46:24
279,281,37,Test Group #1,215 217 222 223 ,2023-01-11 21:46:24,2023-01-11 21:46:24
280,282,38,Group Test 1,,2023-01-11 21:46:24,2023-01-11 21:46:24
281,283,39,Vocab Assessment 2,,2023-01-11 21:46:24,2023-01-11 21:46:24
282,284,42,Group 1,319 320 321 381 ,2023-01-11 21:46:24,2023-01-11 21:46:24
283,285,43,Group 2,323 324 325 ,2023-01-11 21:46:24,2023-01-11 21:46:24
284,286,44,Group 1,326 327 328 394 ,2023-01-11 21:46:24,2023-01-11 21:46:24
285,287,45,Group 2,329 330 331 332 ,2023-01-11 21:46:24,2023-01-11 21:46:24
